model,mae_15 min,mape_15 min,rmse_15 min,mae_30 min,mape_30 min,rmse_30 min,mae_1 hour,mape_1 hour,rmse_1 hour
DCRNN,2.4834580421447754,0.0620581991970539,4.663682164926038,2.7359414100646973,0.0714422911405563,5.413819410803519,3.071352481842041,0.0844117999076843,6.347218133919046
MTGNN,2.475038528442383,0.0623247921466827,4.61454209193737,2.7116470336914062,0.0707316026091575,5.305982473793805,3.026315689086914,0.0820394679903984,6.170545372006293
GWNET,2.483975410461426,0.0626192539930343,4.578127708043675,2.7265820503234863,0.0713724866509437,5.282148115549166,3.0386109352111816,0.0830250531435012,6.151882423180145
STGFORMER,2.5637319087982178,0.0654131099581718,4.875480432556589,2.809708595275879,0.0745309740304946,5.595414409545622,3.1114745140075684,0.0859617367386818,6.41856280298094
AR,15.251578597684125,0.3251820480994262,22.75686157672145,14.730595841796452,0.31743237476478,21.94936547826798,13.84632008445486,0.3051470538328321,20.54538688552614
VAR,16.901948878507977,0.3450524824849788,24.45415872719827,16.998446386748736,0.3435201678609402,24.45924437495676,17.3076249228098,0.3433948112091791,24.43723512257044
STGFORMER_INTERNAL_1st_run,2.599149227142334,0.065551571547985,4.892783958993567,2.8358192443847656,0.0743053182959556,5.5780164350101336,3.128664970397949,0.0850802063941955,6.380597219228263
STGFORMER_INTERNAL_2nd_run,2.596286535263061,0.0671673268079757,4.944569222998641,2.8472163677215576,0.0764496996998786,5.625455880235275,3.1519782543182373,0.0877920016646385,6.403318450820417
STGFORMER_INTERNAL_3rd_run,2.563241004943848,0.0652447640895843,4.8840145004894495,2.799288749694824,0.0737660229206085,5.58960881729184,3.0893166065216064,0.0842121765017509,6.393664395084611
STGFORMER_INTERNAL_4th_run,2.5910239219665527,0.0660390928387641,4.975549807431382,2.83984899520874,0.0750083178281784,5.717965160774765,3.136878490447998,0.0858973562717437,6.5458240621474
STGFORMER_INTERNAL,2.5831446647644043,0.065585657954216,4.947110444356102,2.828691244125366,0.0744164213538169,5.678260760450499,3.1275124549865723,0.0851793736219406,6.507862910594072
STGFORMER_BS200,2.577862024307251,0.0655287876725196,4.903908529215756,2.8201217651367188,0.0743584260344505,5.614227321380716,3.1168951988220215,0.0851591080427169,6.429541844587282
STGFORMER_INTERNAL_DOW,2.592064380645752,0.0664852410554885,4.9435169883629815,2.8322200775146484,0.0756827965378761,5.667552803914248,3.1131458282470703,0.0867400765419006,6.466525520016556
STGFORMER_FINAL,2.5545477867126465,0.06434840708971024,4.779834413094408,2.781238555908203,0.07300597429275513,5.483681311576076,3.061138153076172,0.08399935066699982,6.304093305720226
